token,etc,hint,hidden,category,scenario,explanation,New Column
spent,,,,event,brothel,Find girl in love at the brothel.,
slimy,,"The wolf, set upon the one in the dark church...",,Waid,cinema,Deliver the cinema girl to Waid.,
wooden,,"Killed in the water chamber, his killer takes his form in the dark.",,kill,cinema,Kill the cinema guy.,
tile,,"In the water room, your posession distracts him...",,slave,cinema,Use a slave to distract cinema guy.,
rat,,The pauper's false promise of coin...,,event,cinema,Don't bring enough money to the movies.,
popcorn,,,,marriage,cinema,Marry Gabriella.,
bribery,,,,,cop,A seasoned criminal might have dirt on some cops.,
softwood,,"The blue one... shown misery, finds pleasure.",,goodrape,cop,Please Shauna violently.,
forensic,,Find all there is to be found... at the place of killing...,,,cop,Play detective.,
chalky,,Blue one... on curved hood.,,event,cop,Bang the cop.,
heavy,,To be shamed thoroughly... in a safe place...,,event,cop,Make Officer O'Shay bad day even worse.,
rounded,,,,hypno,cop,Use an illusion to trick the Officer O'Shay.,
rice,,The man from the rising sun... spurned by the one with hair like sun...,,,cougar,Darlene does actually turn some men down.,
misshapen,,,,marriage,cougar,Marry Darlene Weathers.,
appreciation,,"A fine wine, wasted on drunks, tires of being spilled.",,,cougar,Find Darlene a new line of work.,
big,,"The inebriated wanderer, bind her to you.",,marriage,drunk,Marry Val.,
fair,,,,Waid,drunk,Deliver Faye to Waid.,
alarming,,,,,drunk,Let Val catch you in the act with Faye.,
powdery,,Ground ivory... to the inebriated one.,,coke,drunk,Give drugs to a drunk.,
beech,,With skill... the inebriated mind and body can be convinced...,,goodrape,drunk,Please a drunk violently.,
bone,,The lizard sheds its tail when pursued...,,event,dungeon,Sacrifice a pawn to flee the dark place.,
transparent,,The key to a lost soul... find it...,,event,dungeon,Find a keycard in the dungeon.,
sightseeing,,Gaze into the belly of the beast... the word-spanning serpent...,,,dungeon,See through the eyes of another.,
musty,,,,event,dungeon,Find Maria in the dungeon.,
accounting,,,,,dungeon,Get familiar with the accounting staff.,
leather,,The one owned...,,event,dungeon,Visit the slave in the dungeon.,
aluminum,,The mother... enter the dark place...,,event,family,Buttfuck Joy Smith.,
parental,,,,marriage,family,Wed Prudence.,
active,,,,marriage,family,Marry Faith.,
namedrop,,,,event,family,Impress the Smith girls by namedropping a celebrity.,
peppered,,,,hypno,family,Shoot a porno with the Smith girls.,
useful,,,,marriage,family,Marry Chastity.,
orange,,,,goodrape,family,Fail to deflower Faith adequately.,
welcoming,,,,hypno,family,Complement a married woman.,
pickled,,,,hypno,family,Find the Smith girls a summer job.,
hopeless,,,,marriage,family,Marry Hope.,
pied,,Lead them astray... like the piper of old...,,hypno,family,Sell the Smith girls into slavery.,
chipped,,"The able of the five, brutality she craves.",,event,family,Impress Faith.,
steel,,,,event,family,Get a blowjob from Joy Smith.,
plucked,,,,hypno,family,Stack your harem full of Smith.,
tar,,Prepare... a feast... for the wolf.,,Waid,family,"Deliver Hope to Waid, and her sisters too.",
oily,,,,Waid,family,Deliver Hope to Waid.,
reflective,,It is not prudent to see a violent one...,,event,family,Impress Prudence Smith.,
joyous,,,,marriage,family,Marry Joy Smith.,
scattered,,The serpent devours five at a time... hunger never sated.,,event,family,Rampage through the Smith girls.,
fog,,,,fence,fence,Meet the fence.,
tin,,,,event,frat,Witness a gangrape at the frathouse.,
icky,,"The wolf, picking over the carion after the vultures have fled...",,Waid,frat,Deliver frat girl to Waid.,
copper,,Young people... the one found in darkness for them.,,slave,frat,Use slave at frat house.,
polished,,,,event,frat,frat bang college girl,
educational,,,,,hospital,Have a PTA meeting with Eustace.,
buttery,,"The wife of a wealthy man, taken and made your own.",,marriage,hospital,Marry Eustace.,
tilted,,,,goodsex,hospital,Please Eustace Zimmerman.,
sandy,,,,hypno,hospital,Enter the coma patient's mind.,
blackened,,,,kill,jealous,Kill the jealous wife.,
sticky,,"Slaughter the pig with the sow, the wolf consumes the piglet.",,Waid,jealous,Deliver mistress to Waid.,
twisted,,,,kill,jealous,Kill the young mistress.,
light,,,,event,jealous,Get a set of wheels.,
bent,,Ensnare the mind of the philandering husband.,,hypno,jealous,Hypnotize the jealous wife's husband. ,
remote,,,,marriage,mailorder,Marry Izolda,
scratched,,,,Waid,mailorder,Deliver mail order bride to Waid.,
,,,,,,,
acting,,,,,motel,Convince Jean she needs acting lessons.,
ice,,,,goodrape,motel,"Please Jean, violently.",
brass,,"The one who would be seen by many, bind her to you.",,marriage,motel,Marry Jean.,
lubricated,,"The fleshtheatre aspirant, thrown to a pit of wolves...",,Waid,motel,Deliver motel girl to Waid.,
gooey,,,,Waid,park,Deliver Rose to Waid.,
oak,,There in the muck... she finds happiness...,,goodrape,park,Please the park cop violently.,
muddy,,The wolf craves the transformed flesh...,,Waid,park,Deliver park cumslut to Waid.,
hollow,,,,kill,park,Give the park cop brain damage.,
crimson,,He who wronged you... make him bleed...,,kill,revenge,Kill Tony.,
painted,,"The one he loves, to forget his face...",,hypno,revenge,Reprogram Tony's girl.,
red,,His loved one... take her from him...,,kill,revenge,Kill Tony's girl.,
coarse,,,,marriage,revenge,Marry Maria.,
cheap,,,,marriage,several,Marry a bunch of sluts.,
loaded,,"Bound in iron, bound in gold.",,marriage,slave,Marry C41.,
scholastic,,,,Waid,start,Deliver a gaggle of schoolgirls to Waid.,
milky,,Ambrosia milk... from a goddess...,,event,start,Drink the milk of an enslaved celestial being.,
cog,,Ascend the tower by hook and by crook...,,item,stream,Bring gear to Shinoa rape.,
fan,,,,,stream,The streamer is fond of porn. Maybe if she's seen your work...?,
alpha,,,false,,stream,Wes will cower at the word of a better man.,
pentagonal,,,,marriage,stream,Marry Shauna,
balsa,,The one known by many... pushed through the land of fear to a place of love...,,goodrape,stream,Please a celebrity violently.,
arcade,,"Seen by many, take for yourself, keep forever.",,marriage,stream,Marry Shinoa.,
lime,,"Magpie, held down, its feathers plucked by unsteady hands.",,goodrape,thief,Violate the thief.,
smoking,,,,,thief,Bang the smoking break lady.,
mangy,,,,Waid,thief,Deliver a cat to Waid. ,
rugged,,"The magpie stares the snake in the eye, thinks it's a cat...",,hypno,thief,Hypnotize a thief.,
shattered,,"The magpie, placed in a gilded cage.",,marriage,thief,Marry Kat.,
coral,,Hide the magpie in your shadow...,,event,thief,Co-operate with thief.,
lemon,,"Magpie, placed in cage.",,goodrape,thief,Please the thief violently.,
pine,,"Magpie, its wings clipped... feels liberated...",,goodrape,thief,Please the thief violently.,
rusty,,"The climber is killed, the killer takes his place.",,kill,window,Kill the girl in love's boyfriend.,
greasy,,She with love in her heart... deliver to the wolf....,,Waid,window,Deliver girl in love to Waid.,
bamboo,,There is no time.... for the in-and-out... it is time to check the meter.,,goodrape,window,Please a girl in love violently.,
